,vot,f0,dec,condition,subject,accuracy
246,4,6,0.23123786,noise,30_70,0.23123786
247,4,6,0.34075296,clear,30_70,0.34075296
248,2,4,0.12908961,clear,31_69,0.12908961
249,2,4,0.28478587,noise,31_69,0.28478587
250,6,4,0.8647089,clear,31_69,0.12908961
251,6,4,0.7302367,noise,31_69,0.28478587
252,4,2,0.80143815,noise,31_69,0.22682863
253,4,2,0.65507567,clear,31_69,0.34090653
254,4,6,0.22682863,noise,31_69,0.22682863
255,4,6,0.34090653,clear,31_69,0.34090653
256,2,4,0.13531257,clear,32_68,0.13531257
257,2,4,0.28459397,noise,32_68,0.28459397
258,6,4,0.8623347,clear,32_68,0.13531257
259,6,4,0.7315079,noise,32_68,0.28459397
260,4,2,0.79962057,noise,32_68,0.23412572
261,4,2,0.6577322,clear,32_68,0.334977
262,4,6,0.23412572,noise,32_68,0.23412572
263,4,6,0.334977,clear,32_68,0.334977
264,2,4,0.14234437,clear,33_67,0.14234437
265,2,4,0.28061113,noise,33_67,0.28061113
266,6,4,0.85975724,clear,33_67,0.14234437
267,6,4,0.7380019,noise,33_67,0.28061113
268,4,2,0.79010165,noise,33_67,0.24192135
269,4,2,0.6580145,clear,33_67,0.33766562
270,4,6,0.24192135,noise,33_67,0.24192135
271,4,6,0.33766562,clear,33_67,0.33766562
272,2,4,0.14183667,clear,34_66,0.14183667
273,2,4,0.2779574,noise,34_66,0.2779574
274,6,4,0.8530889,clear,34_66,0.14183667
275,6,4,0.7349962,noise,34_66,0.2779574
276,4,2,0.78496575,noise,34_66,0.2439471
277,4,2,0.6648261,clear,34_66,0.33666041
278,4,6,0.2439471,noise,34_66,0.2439471
279,4,6,0.33666041,clear,34_66,0.33666041
280,2,4,0.15103714,clear,35_65,0.15103714
281,2,4,0.27562967,noise,35_65,0.27562967
282,6,4,0.8522378,clear,35_65,0.15103714
283,6,4,0.7368738,noise,35_65,0.27562967
284,4,2,0.7877512,noise,35_65,0.24437617
285,4,2,0.67008156,clear,35_65,0.3286456
286,4,6,0.24437617,noise,35_65,0.24437617
287,4,6,0.3286456,clear,35_65,0.3286456
288,2,4,0.15360697,clear,36_64,0.15360697
289,2,4,0.27020583,noise,36_64,0.27020583
290,6,4,0.84976083,clear,36_64,0.15360697
291,6,4,0.7477428,noise,36_64,0.27020583
292,4,2,0.7774258,noise,36_64,0.24266525
293,4,2,0.67169625,clear,36_64,0.32342556
294,4,6,0.24266525,noise,36_64,0.24266525
295,4,6,0.32342556,clear,36_64,0.32342556
296,2,4,0.15902779,clear,37_63,0.15902779
297,2,4,0.26648077,noise,37_63,0.26648077
298,6,4,0.84213746,clear,37_63,0.15902779
299,6,4,0.74836063,noise,37_63,0.26648077
300,4,2,0.7741672,noise,37_63,0.24745391
301,4,2,0.67243093,clear,37_63,0.3230195
302,4,6,0.24745391,noise,37_63,0.24745391
303,4,6,0.3230195,clear,37_63,0.3230195
304,2,4,0.1650651,clear,38_62,0.1650651
305,2,4,0.2660881,noise,38_62,0.2660881
306,6,4,0.8366248,clear,38_62,0.1650651
307,6,4,0.750927,noise,38_62,0.2660881
308,4,2,0.7684834,noise,38_62,0.25089136
309,4,2,0.6764969,clear,38_62,0.3269313
310,4,6,0.25089136,noise,38_62,0.25089136
311,4,6,0.3269313,clear,38_62,0.3269313
312,2,4,0.16512413,clear,39_61,0.16512413
313,2,4,0.26137245,noise,39_61,0.26137245
314,6,4,0.837596,clear,39_61,0.16512413
315,6,4,0.75269854,noise,39_61,0.26137245
316,4,2,0.7765685,noise,39_61,0.2580431
317,4,2,0.69182414,clear,39_61,0.32218736
318,4,6,0.2580431,noise,39_61,0.2580431
319,4,6,0.32218736,clear,39_61,0.32218736
320,2,4,0.17233005,clear,40_60,0.17233005
321,2,4,0.2545767,noise,40_60,0.2545767
322,6,4,0.8356775,clear,40_60,0.17233005
323,6,4,0.7626082,noise,40_60,0.2545767
324,4,2,0.7614877,noise,40_60,0.26612505
325,4,2,0.68452936,clear,40_60,0.32392508
326,4,6,0.26612505,noise,40_60,0.26612505
327,4,6,0.32392508,clear,40_60,0.32392508
328,2,4,0.17938048,clear,41_59,0.17938048
329,2,4,0.2539702,noise,41_59,0.2539702
330,6,4,0.8384615,clear,41_59,0.17938048
331,6,4,0.77065855,noise,41_59,0.2539702
332,4,2,0.76018125,noise,41_59,0.26371264
333,4,2,0.6916759,clear,41_59,0.31823498
334,4,6,0.26371264,noise,41_59,0.26371264
335,4,6,0.31823498,clear,41_59,0.31823498
336,2,4,0.17547718,clear,42_58,0.17547718
337,2,4,0.24578558,noise,42_58,0.24578558
338,6,4,0.82594,clear,42_58,0.17547718
339,6,4,0.7647562,noise,42_58,0.24578558
340,4,2,0.7550386,noise,42_58,0.26488715
341,4,2,0.6921835,clear,42_58,0.310198
342,4,6,0.26488715,noise,42_58,0.26488715
